Date,Sender,Message
2024-11-24 09:19:39+00:00,7482805767,
2024-11-24 09:19:39+00:00,7482805767,Now it's your choice to enter into Sakuma Exports❤️❤️❤️
2024-11-24 09:19:39+00:00,7482805767,Stock got split and value come down from above Rs.30 to Come down below 10
2024-11-24 09:19:39+00:00,7482805767,The same happened in August 2024
2024-11-24 09:19:39+00:00,7482805767,After Stock split in 2021 to Companies progress in 2024
2024-11-24 09:19:39+00:00,7482805767,Sakuma Exports in May 2024
2024-11-24 09:19:39+00:00,7482805767,
2024-11-24 09:19:39+00:00,7482805767,Sakuma Exports in May 2021
2024-11-24 09:19:39+00:00,7482805767,
2024-11-22 12:19:18+00:00,1319487254,"Why I buy stock, because stock price under 200 ema, less operating profit margin, promoters decrease holding."
2024-11-22 10:35:00+00:00,1230265920,Weekend homework to all retail investors
2024-11-22 10:34:01+00:00,1230265920,Sab Indians Yes tweet karo ..record bana do
2024-11-22 10:34:01+00:00,1230265920,
2024-11-21 07:43:37+00:00,7482805767,"Are you looking to Recover your loss in various Stocks/Option Trading...

Buy Sakuma Exports..
Hold atleast 1 year...❤️❤️"
2024-11-21 06:57:55+00:00,5022073226,
2024-11-21 06:33:38+00:00,6195523639,How can I find which stocks has 20% upper circuit
2024-11-21 03:55:44+00:00,7482805767,"Buy Sakuma Exports 
CMP 3.85
Target 20
Period 1year"
2024-11-21 02:22:25+00:00,7482805767,
2024-11-20 13:28:24+00:00,1277377363,परॉब्लेम्स
2024-11-19 04:16:22+00:00,7482805767,"Sakuma Exports
I analyzed this stock.. it will start an uptrend when it goes above 4.50 rs.. currently, it is in a downtrend.. and its actual value is 3 rs, while it is currently at 3.86.Waiting to enter more to cross above 4.5.It will cross it soon in some sessions..

Right time to enter at good quantity"
2024-11-19 04:01:16+00:00,7482805767,"Sakuma Exports

I had visited the company on last month and very much satisfied with the company and interacted with the employees also...

Ver good potential company.."
2024-11-19 03:48:56+00:00,7482805767,"Pla your Trade with Sakuma Exports
Hold till it reaches Rs.15"
2024-11-19 01:36:41+00:00,7482805767,
2024-11-18 16:12:11+00:00,5940824548,Ok
2024-11-18 15:59:45+00:00,7482805767,"Sakuma Exports Limited Secures Rs. 150 Crore Deal

Sakuma Exports Limited has secured a major contract worth approximately Rs 150 crore for the supply of sugar to the North East, West Bengal, and Bihar regions. This contract strengthens the company's presence in these key markets and reflects its ongoing efforts to meet the growing demand for sugar in India.

The company is also exploring similar opportunities in northern India as part of its expansion strategy. By tapping into these regions, Sakuma Exports aims to broaden its operational footprint and capitalize on emerging opportunities.

These developments are expected to bolster the company's growth trajectory and create additional value for shareholders and stakeholders. Sakuma Exports is committed to pursuing initiatives that drive sustainable growth, reinforcing its status as a leading player in the agro-commodities sector.
Source: News on Project"
2024-11-18 15:55:01+00:00,7482805767,"Sakuma Exports shares gain 2% on bonus issue, fund raising plan

Sakuma Exports' stock surged 2% early on July 2 following board approval for bonus shares and fundraising via qualified institutional placement.
The company's board, in a meeting on July 1, greenlit a 4:1 issue of bonus shares—four new fully paid-up equity shares of Re 1 each for every existing share held. This move awaits shareholder approval on the record date yet to be determined.
Additionally, the board authorized fundraising through QIP, aiming to raise up to Rs 500 crore in one or more tranches.
In the said meeting, the company board approved undertaking investment up to a sum of Rs 600 crore in direct/step-down subsidiaries of the company whether existing or proposed to be set up at a future date and whether situated in India or abroad.
And approved the increase in the limit of investment in the capital of the company up to 49 percent of the total paid-up capital of the company by foreign portfolio investors, foreign institutional investors, foreign direct investment and non-resident Indians.
The extraordinary general meeting (EGM) of the members of Sakuma Exports will be held on July 31, 2024.
Source : Money Control"
2024-11-18 12:31:56+00:00,1230265920,
2024-11-18 12:31:56+00:00,1230265920,
2024-11-18 09:44:14+00:00,7482805767,"Buy and hold Sakuma Exports

CMP Rs.3.85
Target 1 year Rs.25.."
2024-11-18 08:54:13+00:00,7482805767,Good news for Sakuma Exports
2024-11-18 08:54:13+00:00,7482805767,https://www.cnbctv18.com/india/government-permits-procurement-of-soybean-with-higher-moisture-content-19510633.htm?utm_medium=social&utm_source=whatsapp&utm_campaign=regular-editorial
2024-11-18 06:25:30+00:00,7482805767,"##S ##S:
Sakuma in 2018

Split

Now waiting for a double digit soon"
2024-11-18 06:25:28+00:00,7482805767,
2024-11-18 06:25:28+00:00,7482805767,
2024-11-18 04:48:39+00:00,7482805767,"The stock issued bonus share in the ratio 4:1 in August 2024...The company is paying dividend in every year..
The company is having overseas subsidiaries in America,Africa and European Countries.."
2024-11-18 04:48:39+00:00,7482805767,Buy Sakuma with a 1 year Target of Rs.25.00
2024-11-18 04:48:39+00:00,7482805767,"Every September quarter...Sakuma Exports Sales and Profit will be less compared to other quarters...It's seasonal business..
So last day result came.. The same thing happened. 
Now it's LC today.. It's temporary and will back soon...I had averaged today..
Don't miss the opportunity to enter in the right time .

Sakuma Exports.."
2024-11-18 04:32:55+00:00,7482805767,"Every September quarter...Sakuma Exports Sales and Profit will be less compared to other quarters...It's seasonal business..
So last day result came.. The same thing happened. 
Now it's LC today.. It's temporary and will back soon...I had averaged today..
Don't miss the opportunity to enter in the right time .

Sakuma Exports.."
2024-11-18 04:32:55+00:00,7482805767,"##:
Stock Name 

Sakuma Exports Ltd

CMP Rs.3.96

Company has issued bonus shares in the ratio 4:1 in the month of August 2024.The stock has split from Rs.32.00 to Rs.8.00



Sakuma Exports Ltd. is engaged in Buying, Processing, Marketing, Exporting bulk agricultural commodities like Sugar, Edible Oils, Oil Seeds, Pulses, Cotton, etc. It also offers innovative financial structured products linked to physical commodities.


Key Points 

Products
The company trades major bulk commodities such as Sugar, Edible Oil, Pulses, Lentils, Cotton, and other Agri commodities. 

Business Verticals

1) Agro Commodities: Offers Sugar and by-products, Oilseed & palm complex products, grains including Rice, wheat, corn, etc, Pulses, spices such as Coriander seeds, Cumin Seeds, Turmeric, etc, animal feed & cotton.It discontinued the oil business from FY21.

2) Petrochemicals, Petroleum, and Minerals: Used in clothing, housing, construction, furniture, automobiles, household items, agriculture, horticulture, irrigation, etc.

3) Renewable Energy: Ventured into renewable Energy in 2007 by installing windmills in Gujarat.

Geographical Split
India - 36% in FY24 vs 32% in FY22
Outside India - 64% in FY24 vs 68% in FY22

The export share has dropped as the GoI imposed restrictions on sugar export in FY24 to balance the domestic demand & supply dynamics. The company had to curtail export business and divert focus on domestic markets. This has also impacted the share of Sugar business revenue.


Product-Wise Revenue Mix
Sugar - 78% in FY24 vs 99% in FY22
Other commodities - 22% in FY24 vs 1% in FY22

New Contract
The company received a contract of Rs.150 Cr for the supply of sugar to the North East, West Bengal, and Bihar regions in Q1 FY25. It has also established a supply of maize to multigrain refineries for the production of Ethanol.


Clientele
Top 10 customers account for 75-80% of the revenues, the company trades with large buyers domestically (coastal refineries, Wilmar Group, EID Parry) and globally (Viterra, COFCO), etc


Subsidiary Company
The company has 5 overseas subsidiaries in Dubai, Singapore, Ghana, Tanzania, and Bahrain. In FY24, these subsidiaries contributed to ~13% of the overall revenue. In FY24, co. had invested 10 Million USD in its subsidiary in the UK, to increase operations in trading commodities globally. Sakuma Impex Ltd UK has secured an outstanding order book of ~£5 million.

Focus
The company has shifted its strategy to focus on domestic trade due to recurring government regulations. This includes supplying pulses and expanding domestic activities to offset export losses. Additionally, the company has begun supplying maize to multigrain refineries for ethanol production. 

Company has seasonal wise sales for a FY..The high sales and profit comes from Dec and Mar quarter...

The trend of the stock is 
Every year the sales and profit is less in June and Sept quarter.Tge main sales and profit will come on Dec and Mar quarter"
2024-11-17 23:43:23+00:00,7482805767,"##:
Stock Name 

Sakuma Exports Ltd

CMP Rs.3.96

Company has issued bonus shares in the ratio 4:1 in the month of August 2024.The stock has split from Rs.32.00 to Rs.8.00



Sakuma Exports Ltd. is engaged in Buying, Processing, Marketing, Exporting bulk agricultural commodities like Sugar, Edible Oils, Oil Seeds, Pulses, Cotton, etc. It also offers innovative financial structured products linked to physical commodities.


Key Points 

Products
The company trades major bulk commodities such as Sugar, Edible Oil, Pulses, Lentils, Cotton, and other Agri commodities. 

Business Verticals

1) Agro Commodities: Offers Sugar and by-products, Oilseed & palm complex products, grains including Rice, wheat, corn, etc, Pulses, spices such as Coriander seeds, Cumin Seeds, Turmeric, etc, animal feed & cotton.It discontinued the oil business from FY21.

2) Petrochemicals, Petroleum, and Minerals: Used in clothing, housing, construction, furniture, automobiles, household items, agriculture, horticulture, irrigation, etc.

3) Renewable Energy: Ventured into renewable Energy in 2007 by installing windmills in Gujarat.

Geographical Split
India - 36% in FY24 vs 32% in FY22
Outside India - 64% in FY24 vs 68% in FY22

The export share has dropped as the GoI imposed restrictions on sugar export in FY24 to balance the domestic demand & supply dynamics. The company had to curtail export business and divert focus on domestic markets. This has also impacted the share of Sugar business revenue.


Product-Wise Revenue Mix
Sugar - 78% in FY24 vs 99% in FY22
Other commodities - 22% in FY24 vs 1% in FY22

New Contract
The company received a contract of Rs.150 Cr for the supply of sugar to the North East, West Bengal, and Bihar regions in Q1 FY25. It has also established a supply of maize to multigrain refineries for the production of Ethanol.


Clientele
Top 10 customers account for 75-80% of the revenues, the company trades with large buyers domestically (coastal refineries, Wilmar Group, EID Parry) and globally (Viterra, COFCO), etc


Subsidiary Company
The company has 5 overseas subsidiaries in Dubai, Singapore, Ghana, Tanzania, and Bahrain. In FY24, these subsidiaries contributed to ~13% of the overall revenue. In FY24, co. had invested 10 Million USD in its subsidiary in the UK, to increase operations in trading commodities globally. Sakuma Impex Ltd UK has secured an outstanding order book of ~£5 million.

Focus
The company has shifted its strategy to focus on domestic trade due to recurring government regulations. This includes supplying pulses and expanding domestic activities to offset export losses. Additionally, the company has begun supplying maize to multigrain refineries for ethanol production. 

Company has seasonal wise sales for a FY..The high sales and profit comes from Dec and Mar quarter...

The trend of the stock is 
Every year the sales and profit is less in June and Sept quarter.The main sales and profit will come on Dec and Mar quarter"
2024-11-16 15:09:31+00:00,7482805767,"##:
Stock Name 

Sakuma Exports Ltd

CMP Rs.3.96

Company has issued bonus shares in the ratio 4:1 in the month of August 2024.The stock has split from Rs.32.00 to Rs.8.00



Sakuma Exports Ltd. is engaged in Buying, Processing, Marketing, Exporting bulk agricultural commodities like Sugar, Edible Oils, Oil Seeds, Pulses, Cotton, etc. It also offers innovative financial structured products linked to physical commodities.


Key Points 

Products
The company trades major bulk commodities such as Sugar, Edible Oil, Pulses, Lentils, Cotton, and other Agri commodities. 

Business Verticals

1) Agro Commodities: Offers Sugar and by-products, Oilseed & palm complex products, grains including Rice, wheat, corn, etc, Pulses, spices such as Coriander seeds, Cumin Seeds, Turmeric, etc, animal feed & cotton.It discontinued the oil business from FY21.

2) Petrochemicals, Petroleum, and Minerals: Used in clothing, housing, construction, furniture, automobiles, household items, agriculture, horticulture, irrigation, etc.

3) Renewable Energy: Ventured into renewable Energy in 2007 by installing windmills in Gujarat.

Geographical Split
India - 36% in FY24 vs 32% in FY22
Outside India - 64% in FY24 vs 68% in FY22

The export share has dropped as the GoI imposed restrictions on sugar export in FY24 to balance the domestic demand & supply dynamics. The company had to curtail export business and divert focus on domestic markets. This has also impacted the share of Sugar business revenue.


Product-Wise Revenue Mix
Sugar - 78% in FY24 vs 99% in FY22
Other commodities - 22% in FY24 vs 1% in FY22

New Contract
The company received a contract of Rs.150 Cr for the supply of sugar to the North East, West Bengal, and Bihar regions in Q1 FY25. It has also established a supply of maize to multigrain refineries for the production of Ethanol.


Clientele
Top 10 customers account for 75-80% of the revenues, the company trades with large buyers domestically (coastal refineries, Wilmar Group, EID Parry) and globally (Viterra, COFCO), etc


Subsidiary Company
The company has 5 overseas subsidiaries in Dubai, Singapore, Ghana, Tanzania, and Bahrain. In FY24, these subsidiaries contributed to ~13% of the overall revenue. In FY24, co. had invested 10 Million USD in its subsidiary in the UK, to increase operations in trading commodities globally. Sakuma Impex Ltd UK has secured an outstanding order book of ~£5 million.

Focus
The company has shifted its strategy to focus on domestic trade due to recurring government regulations. This includes supplying pulses and expanding domestic activities to offset export losses. Additionally, the company has begun supplying maize to multigrain refineries for ethanol production. 

Company has seasonal wise sales for a FY..The high sales and profit comes from Dec and Mar quarter...

The trend of the stock is 
Every year the sales and profit is less in June and Sept quarter.Tge main sales and profit will come on Dec and Mar quarter"
2024-11-13 15:29:45+00:00,1857201670,https://youtu.be/981hxy4taPM
2024-11-13 10:11:47+00:00,1182160760,Engulfing and engulfing failed
2024-11-13 10:11:40+00:00,1182160760,Support and resistance
2024-11-13 10:11:31+00:00,1182160760,Supply n demand
2024-11-13 10:10:39+00:00,5941387226,Which technical analysis strategy could be applied predict range market in forex trading
2024-11-13 10:10:00+00:00,5941387226,How to predict range market in forex trading
2024-11-13 07:09:30+00:00,1230265920,
2024-11-13 07:09:30+00:00,1230265920,
2024-11-12 15:47:37+00:00,1857201670,https://youtu.be/g6TL0MfjVHg
2024-11-11 15:51:42+00:00,1857201670,https://youtu.be/FOdKefF3IWE
2024-11-07 15:39:07+00:00,1857201670,https://youtu.be/EMLfNzMyy68
2024-11-06 02:14:47+00:00,1230265920,"MSCI Changes-Impact on Nov 7 mornings 

Expected inclusions-Kalyan, Adani Energy, Oberoi Realty, Alkem, BSE

Src-Nuvama"
